,DBA,EPP,EWJ,FEZ,FXE,GLD,ILF,QQQ,SHV,SPY,USO,XBI
2007-06-15,2.0,-2.0,-2.0,1.9368832970995185,-0.9368832970995193,-2.0,2.0,-2.0,2.0,-2.0,2.0,2.0
2007-06-22,2.0,2.0,-2.0,-1.0488369776758266,-0.5163416918323042,-2.0,1.9999999999999998,1.3859428753842504,2.0,-2.0,1.1792357941238814,-2.0
2007-06-29,2.0,-1.096204770332623,-2.0,1.6949212474055568,1.797623568037951,-2.0,1.9999999999999996,2.0,1.6310583111045556,-2.0,-1.0273983562154396,-2.0
2007-07-06,1.6014092704743264,-1.5850750043660877,-2.0,2.0,2.0,-2.0,1.9999999999999998,2.0,-1.0163342661082386,-2.0,2.0,-2.0
2007-07-13,2.0,1.0367611754489316,-2.0,-0.5291902822322629,2.0,-2.0,2.0,2.0,-1.5075708932166687,-2.0,2.0,-2.0
2007-07-20,2.0,2.0,-2.0,-1.2422145845525738,2.0,-2.0,1.9999999999999998,2.0,-1.7577854154474255,-2.0,2.0,-2.0
2007-07-27,2.0,2.0,-1.9515128170234133,-2.0000000000000004,2.0,-2.0,1.9999999999999998,2.0,-1.0484871829765858,-2.0,2.0,-2.0
2007-08-03,2.0,1.9512971675819737,-2.0,-1.9999999999999998,2.0,-2.0,2.0,2.0,-0.9512971675819737,-2.0,2.0,-2.0000000000000004
2007-08-10,2.0,-1.6662919491631814,-2.0,-1.9999999999999998,2.0,-2.0,1.9999999999999996,2.0,-1.3337080508368182,-2.0,2.0,2.0
2007-08-17,1.2752873679997618,-2.0000000000000004,-2.0,-0.6783001127667367,-2.0,-0.32628773424712093,-0.9518279426532531,2.0,-0.31887157833265045,2.0,2.0,2.0
2007-08-24,0.13607550136050262,2.0000000000000004,-2.0,-2.0000000000000004,2.0,-0.3385417356783382,-0.7975337656821645,2.0,-2.0,-2.0,2.0,2.0
2007-08-31,2.0,0.09619026070951174,-2.0,-2.0,2.0,-2.0,0.6596544738718726,2.0,-1.755844734581384,-2.0,2.0,2.0
2007-09-07,-1.9585921536885535,0.7521977453553512,-2.0,-2.0,2.0,2.0,0.20639440833320205,2.0,-2.0,-2.0,2.0,2.0
2007-09-14,-1.6520993676947124,2.0,-2.0,-2.0,2.0,2.0,-1.3479006323052873,2.0,-2.0,-2.0,2.0,2.0
2007-09-21,2.0,0.7178686102087852,-2.0,-1.9999999999999998,-1.196176243939521,2.0,1.2294598586572492,0.2488477750734863,-2.0,-2.0,2.0,2.0
2007-09-28,2.0,2.0,-2.0,-2.0,-0.21562055503581495,2.0,1.215620555035815,-2.0,-2.0,-2.0,2.0,2.0
2007-10-05,0.6696940225032187,2.0,-2.0,-2.0,-0.18540104973150234,2.0,0.13144565327502702,0.3842613739532565,-2.0,-2.0,2.0,2.0
2007-10-12,2.0,1.9999999999999996,-2.0,-2.0,-0.05716987843201841,2.0,1.0571698784320191,-2.0,-2.0,-2.0,2.0,2.0
2007-10-19,2.0,0.22348994814781153,-2.0,-2.0000000000000004,-0.4416021165245432,2.0,2.0,-0.7818878316232675,-2.0,-2.0,2.0,2.0
2007-10-26,2.0,2.0,-2.0,-2.0,-0.018682773875264756,2.0,1.0186827738752646,-2.0,-2.0,-2.0,2.0,2.0
2007-11-02,2.0,1.9999999999999996,-2.0,-2.0,0.3444469702661268,2.0,0.6555530297338741,-2.0,-2.0,-2.0,2.0,2.0
